x500Name,Version
"OU=Trade Finance, O=Genesis Fashions Ltd., L=Gazipur, C=BD","6.1.0"
"OU=Trade Finance, O=MILITARY COMMERCIAL JOINT STOCK BANK, L=Ha Noi, C=VN","6.1.0"
"OU=Trade Finance, O=EMIRCOM LLC, L=Abu Dhabi, C=AE","6.1.0"
"OU=Trade Finance, O=ASIA PET (THAILAND) LIMITED, L=Bangkok, C=TH","6.1.0"
"OU=Trade Finance, O=DBS Bank (China) Limited, L=Shanghai, C=CN","6.1.0"
"OU=Global Trade and Receivables Finance Production, O=The Hongkong and Shanghai Banking Corporation Limited, L=Bangkok, C=TH","6.1.0"
"OU=Trade Finance, O=INDORAMA PETROCHEM LIMITED, L=Bangkok, C=TH","6.1.0"
"OU=Trade Finance, O=TPT PETROCHEMICALS PUBLIC COMPANY LIMITED, L=Bangkok, C=TH","6.1.0"
"OU=Trade Finance, O=Bajaj Auto Limited, L=Pune, C=IN","6.1.0"
"OU=Trade Finance, O=Indorama Polyester Industries Public Company Limited, L=Bangkok, C=TH","6.1.0"
"OU=Trade Finance, O=RANGPUR METAL INDUSTRIES LIMITED, L=HOBIGONJ, C=BD","6.1.0"
"OU=Trade Finance, O=Jidong Development (HK) International Limited, L=Kowloon Bay, C=HK","6.1.0"
"OU=Trade Finance, O=INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED, L=Hong Kong, C=HK","6.1.0"
"OU=Trade Finance, O=Kumba Singapore Pte Ltd, L=Singapore, C=SG","6.1.0"
"OU=Trade Finance, O=Eldon Development Limited, L=Wan Chai, C=HK","6.1.0"
"OU=Trade Finance, O=PT. CHANDRA ASRI PETROCHEMICAL TBK, L=Jakarta, C=ID","6.1.0"
"OU=Trade Finance, O=HBIS GROUP SINGAPORE PTE. LTD., L=Singapore, C=SG","6.1.0"
"OU=Trade Finance, O=WIN FAITH TRADING LIMITED, L=Hong Kong, C=HK","6.1.0"
"OU=Trade Finance, O=THAI ACRYLIC FIBRE COMPANY LIMITED, L=Bangkok, C=TH","6.1.0"
"OU=Trade Finance, O=Anglo American Marketing Limited, L=London, C=GB","6.1.0"
"OU=Trade Finance, O=Anglo American Marketing Limited Singapore Branch, L=Singapore, C=SG","6.1.0"
"OU=GTRF Production, O=HSBC Bank Middle East LTD, L=Dubai, C=AE","6.1.0"
"OU=GTRF Production, O=HSBC Bank Malaysia Berhad, L=Kuala Lumpur, C=MY","6.1.0"
"OU=Trade Finance, O=LONGTEX RUBBER INDUSTRY CO. LTD., L=Samut Prakan, C=TH","6.1.0"
"OU=Trade Finance, O=SINGAPORE (COGENERATION) STEEL PTE. LTD., L=Singapore, C=SG","6.1.0"
"OU=Trade Finance, O=SUMITOMO MITSUI BANKING CORPORATION SINGAPORE BRANCH, L=Singapore, C=SG","6.1.0"
"OU=Trade Finance, O=MACWORLD INDUSTRIES LIMITED, L=LABUAN, C=MY","6.1.0"
"OU=Trade Finance, O=Aptec Distribution FZ-LLC, L=Dubai, C=AE","6.1.0"
"OU=Trade Finance, O=STAVIAN CHEMICAL JOINT STOCK COMPANY, L=Hung Yen, C=VN","6.1.0"
"OU=Trade Finance Prod, O=Vale International SA, L=St-Prex, C=CH","6.1.0"
"OU=Trade Finance, O=Thailand Anthracite Company Limited, L=Bangkok, C=TH","6.1.0"
"OU=Trade Finance, O=Polyplex (Thailand) Public Company Limited, L=Bangkok, C=TH","6.1.0"
"OU=CIB ITO-CORDA-SCB IN, O=STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED, L=CHENNAI, C=IN","6.0.0"
"OU=GTRF Production, O=HSBC Bank (China) Company Limited, L=Shanghai, C=CN","6.1.0"
"OU=Trade Finance, O=DBS BANK (HONG KONG) LIMITED, L=Central District, C=HK","6.1.0"
"OU=Trade Finance, O=ArcelorMittal Nippon Steel India Limited, L=Surat, C=IN","6.1.0"
"OU=Trade Finance, O=CHEMTECH CO. LTD, L=Binh Duong, C=VN","6.1.0"
"OU=Trade Finance, O=AN PHAT BIOPLASTICS JOINT STOCK COMPANY, L=Hai Duong, C=VN","6.1.0"
"OU=Trade Finance, O=Pointer Investment (Hong Kong) Limited, L=Hong Kong, C=HK","6.1.0"
"OU=Trade Finance, O=PALM-OLEO SDN BHD, L=Petaling Jaya, C=MY","6.1.0"
"OU=Trade Finance, O=BRITISH AMERICAN TOBACCO BANGLADESH CO. LTD., L=Dhaka, C=BD","6.1.0"
"OU=Trade Finance, O=PT ARISTA LATINDO, L=Jakarta, C=ID","6.1.0"
"OU=Trade Finance, O=SCG Performance Chemicals Company Limited, L=Bangkok, C=TH","6.1.0"
"OU=GTRF Production, O=Hang Seng Bank Limited, L=Central District, C=HK","6.1.0"
"OU=Global Trade and Receivables Finance Production, O=The Hongkong and Shanghai Banking Corporation Limited, L=Dhaka, C=BD","6.1.0"
"OU=Global Trade and Receivables Finance Production, O=The Hongkong and Shanghai Banking Corporation Limited, L=Mumbai, C=IN","6.1.0"
"OU=Global Trade and Receivables Finance Production, O=The Hongkong and Shanghai Banking Corporation Limited, L=SINGAPORE, C=SG","6.1.0"
"OU=GTRF Production, O=The Hongkong and Shanghai Banking Corporation Limited, L=Central District, C=HK","6.1.0"
"OU=Trade Finance, O=SCG Plastics Company Limited, L=Bangkok, C=TH","6.1.0"
"OU=Trade Finance, O=Metal One (Thailand) Company Limited, L=Bangkok, C=TH","6.1.0"
"OU=Trade Finance, O=CEMCOA LIMITED, L=Hong Kong, C=HK","6.1.0"
"OU=Trade Finance, O=HONG KONG JINTENG DEVELOPMENT LIMITED, L=Hong Kong, C=HK","6.1.0"
"OU=Trade Finance, O=Chandra Asri Trading Company Pte Ltd, L=Singapore, C=SG","6.1.0"
"OU=Trade Finance, O=Singapore Jinteng International Pte Ltd, L=Singapore, C=SG","6.1.0"
"OU=CIB ITO-CORDA, O=Standard Chartered Bank (Singapore) Limited, L=Singapore, C=SG","6.0.0"
"OU=Trade Finance, O=TOPTIP HOLDING PTE. LTD, L=Singapore, C=SG","6.1.0"
"OU=CTR PRD AGENT 01, O=BNP PARIBAS, L=PARIS, C=FR","6.0.0"
"OU=Comprehensive Fabric, O=Contour Pte. Ltd., L=Singapore, C=SG","6.1.0"
"OU=Trade Finance, O=HBIS Group Hong Kong Co. Limited, L=Hong Kong, C=HK","6.1.0"
"OU=Node1, O=Skandinaviska Enskilda Banken AB (publ), L=Stockholm, C=SE","6.0.0"
"OU=Trade Finance, O=HANGZHOU IRON & STEEL (H.K.) COMPANY LIMITED, L=Hong Kong, C=HK","6.1.0"
"OU=Mid Atlantic Bank, O=Contour Pte. Ltd., L=Singapore, C=SG","6.0.0"
"OU=Permata, O=PT BANK PERMATA TBK, L=Jakarta, C=ID","6.0.0"
"OU=Trade Finance, O=DBS BANK LTD., L=Singapore, C=SG","6.1.0"
"OU=Trade Finance, O=Bangkok Bank Public Company Limited, L=Bangkok, C=TH","6.1.0"
"OU=Trade Finance, O=ROBE RIVER ORE SALES PTY. LTD., L=PERTH, C=AU","6.1.0"
"OU=Trade Finance, O=Bangkok Bank Public Company Limited, L=Ho Chi Minh City, C=VN","6.1.0"
"OU=Trade Finance, O=HOPE DOWNS MARKETING COMPANY PTY LTD, L=PERTH, C=AU","6.1.0"
"OU=Trade Finance, O=Rio Tinto Commercial Pte Ltd, L=Singapore, C=SG","6.1.0"
"OU=Trade Finance, O=Industrial and Commercial Bank of China Limited Xiamen Branch Business Office, L=Xiamen, C=CN","6.1.0"
"OU=Trade Finance, O=Xiamen ITG Group Corp. Ltd, L=Xiamen, C=CN","6.1.0"
"OU=Trade Finance, O=Bank of China (Hong Kong) Limited, L=Hong Kong, C=HK","6.1.0"
"OU=Trade Finance, O=TATA STEEL LIMITED, L=Mumbai, C=IN","6.1.0"
"OU=Trade Finance, O=Universal Tube and Plastic Industries Ltd., L=Dubai, C=AE","6.1.0"
"OU=Dictionary Bank, O=Contour Pte. Ltd., L=Singapore, C=SG","6.0.0"
"OU=Delta One Corp, O=Contour Pte. Ltd., L=Singapore, C=SG","6.0.0"
"OU=Century Bank, O=Contour Pte. Ltd., L=Singapore, C=SG","6.1.0"
"OU=Comprehensive Corp, O=Contour Pte. Ltd., L=Singapore, C=SG","6.1.0"
"OU=Asia Best Bank, O=Contour Pte. Ltd., L=Singapore, C=SG","6.1.0"
"OU=Good Design, O=Contour Pte. Ltd., L=Singapore, C=SG","6.0.0"
"OU=Bayfront Bank, O=Contour Pte. Ltd., L=Singapore, C=SG","5.0.2"
"OU=CIB ITO-CORDA, O=Standard Chartered Bank Bangladesh Branch Limited, L=Dhaka, C=BD","6.0.0"
